"","location_name","data_date","submitted_date","Province","District","malaria_rdt_0-4","malaria_rdt_5-14","malaria_rdt_15","malaria_tot","newid"
"70","Facility 4",2020-08-10,2020-08-11,"North","Bolo",21,9,18,48,4
"71","Facility 41",2020-08-10,2020-08-11,"North","Barnard",12,6,18,36,41
"72","Facility 2",2020-08-10,2020-08-11,"North","Bolo",12,10,19,41,2
"73","Facility 16",2020-08-10,2020-08-11,"North","Barnard",1,0,0,1,16
"74","Facility 18",2020-08-10,2020-08-11,"North","Bolo",4,2,5,11,18
"75","Facility 12",2020-08-10,2020-08-11,"North","Dingo",12,35,62,109,12
"76","Facility 25",2020-08-10,2020-08-11,"North","Bolo",3,1,4,8,25
"77","Facility 8",2020-08-10,2020-08-11,"North","Bolo",6,4,16,26,8
"78","Facility 27",2020-08-10,2020-08-11,"North","Spring",12,5,2,19,27
"79","Facility 29",2020-08-10,2020-08-11,"North","Dingo",19,10,27,56,29
"80","Facility 24",2020-08-10,2020-08-11,"North","Bolo",30,17,28,75,24
"81","Facility 28",2020-08-10,2020-08-11,"North","Spring",14,8,21,43,28
"82","Facility 42",2020-08-10,2020-08-11,"North","Dingo",21,3,26,50,42
"83","Facility 20",2020-08-10,2020-08-11,"North","Barnard",29,3,17,49,20
"84","Facility 43",2020-08-02,2020-08-11,"North","Dingo",4,3,6,13,43
"85","Facility 43",2020-08-01,2020-08-11,"North","Dingo",8,0,8,16,43
"86","Facility 43",2020-07-31,2020-08-11,"North","Dingo",11,3,7,21,43
"87","Facility 43",2020-07-30,2020-08-11,"North","Dingo",15,5,9,29,43
"88","Facility 43",2020-07-29,2020-08-11,"North","Dingo",9,4,11,24,43
"89","Facility 43",2020-07-28,2020-08-11,"North","Dingo",7,3,10,20,43
"90","Facility 43",2020-07-27,2020-08-11,"North","Dingo",3,2,4,9,43
"91","Facility 44",2020-07-22,2020-08-11,"North","Barnard",26,15,26,67,44
"92","Facility 44",2020-07-21,2020-08-11,"North","Barnard",10,8,22,40,44
"93","Facility 44",2020-07-20,2020-08-11,"North","Barnard",21,9,46,76,44
"94","Facility 44",2020-07-19,2020-08-11,"North","Barnard",6,5,52,63,44
"95","Facility 44",2020-07-17,2020-08-11,"North","Barnard",0,0,0,0,44
"96","Facility 44",2020-07-16,2020-08-11,"North","Barnard",6,4,6,16,44
"97","Facility 44",2020-07-15,2020-08-11,"North","Barnard",13,20,24,57,44
"98","Facility 43",2020-07-26,2020-08-10,"North","Dingo",8,3,7,18,43
"99","Facility 43",2020-07-25,2020-08-10,"North","Dingo",10,4,9,23,43
"100","Facility 43",2020-07-24,2020-08-10,"North","Dingo",12,9,7,28,43
"101","Facility 43",2020-07-23,2020-08-10,"North","Dingo",5,3,8,16,43
"102","Facility 43",2020-07-21,2020-08-10,"North","Dingo",7,2,5,14,43
"103","Facility 43",2020-07-20,2020-08-10,"North","Dingo",13,5,9,27,43
"104","Facility 43",2020-07-19,2020-08-10,"North","Dingo",9,6,4,19,43
"105","Facility 32",2020-08-10,2020-08-10,"North","Spring",27,33,22,82,32
"106","Facility 32",2020-08-09,2020-08-10,"North","Spring",34,39,15,88,32
"107","Facility 44",2020-07-14,2020-08-10,"North","Barnard",16,14,24,54,44
"108","Facility 44",2020-07-13,2020-08-10,"North","Barnard",8,19,26,53,44
"109","Facility 44",2020-07-12,2020-08-10,"North","Barnard",6,6,43,55,44
"110","Facility 44",2020-07-11,2020-08-10,"North","Barnard",25,10,39,74,44
"111","Facility 45",2020-08-10,2020-08-10,"North","Barnard",31,50,49,130,45
"112","Facility 23",2020-08-10,2020-08-10,"North","Dingo",11,7,12,30,23
"113","Facility 22",2020-08-10,2020-08-10,"North","Bolo",10,3,10,23,22
"114","Facility 36",2020-08-10,2020-08-10,"North","Dingo",0,0,0,0,36
"115","Facility 34",2020-08-10,2020-08-10,"North","Dingo",10,7,11,28,34
"116","Facility 46",2020-08-09,2020-08-10,"North","Dingo",5,2,3,10,46
"117","Facility 28",2020-08-09,2020-08-10,"North","Spring",8,13,20,41,28
"118","Facility 25",2020-08-09,2020-08-10,"North","Bolo",3,5,14,22,25
"119","Facility 25",2020-08-09,2020-08-10,"North","Bolo",3,5,14,22,25
"120","Facility 9",2020-08-09,2020-08-10,"North","Spring",44,23,30,97,9
"121","Facility 9",2020-08-08,2020-08-10,"North","Spring",25,18,37,80,9
"122","Facility 9",2020-08-07,2020-08-10,"North","Spring",0,0,0,0,9
"123","Facility 9",2020-08-06,2020-08-10,"North","Spring",2,1,0,3,9
"124","Facility 9",2020-08-05,2020-08-10,"North","Spring",25,22,27,74,9
"125","Facility 27",2020-08-09,2020-08-10,"North","Spring",2,3,4,9,27
"126","Facility 9",2020-08-04,2020-08-10,"North","Spring",31,11,18,60,9
"127","Facility 9",2020-08-03,2020-08-10,"North","Spring",20,27,27,74,9
"128","Facility 9",2020-08-02,2020-08-10,"North","Spring",31,24,63,118,9
"129","Facility 9",2020-08-01,2020-08-10,"North","Spring",55,27,27,109,9
"130","Facility 9",2020-07-31,2020-08-10,"North","Spring",3,1,9,13,9
"131","Facility 9",2020-07-30,2020-08-10,"North","Spring",5,0,9,14,9
"132","Facility 9",2020-07-29,2020-08-10,"North","Spring",30,21,23,74,9
"133","Facility 9",2020-07-28,2020-08-10,"North","Spring",36,16,23,75,9
"134","Facility 18",2020-08-09,2020-08-10,"North","Bolo",4,2,6,12,18
"135","Facility 9",2020-07-27,2020-08-10,"North","Spring",31,23,37,91,9
"136","Facility 13",2020-08-09,2020-08-10,"North","Bolo",0,0,0,0,13
"137","Facility 11",2020-08-09,2020-08-10,"North","Spring",27,21,39,87,11
"138","Facility 41",2020-08-09,2020-08-10,"North","Barnard",16,8,20,44,41
"139","Facility 4",2020-08-06,2020-08-10,"North","Bolo",2,6,10,18,4
"140","Facility 7",2020-08-09,2020-08-10,"North","Spring",13,8,20,41,7
"141","Facility 47",2020-08-09,2020-08-10,"North","Barnard",2,0,0,2,47
"142","Facility 40",2020-08-09,2020-08-10,"North","Barnard",0,0,0,0,40
"143","Facility 8",2020-08-09,2020-08-10,"North","Bolo",11,3,10,24,8
"144","Facility 15",2020-08-09,2020-08-10,"North","Barnard",10,9,3,22,15
"145","Facility 8",2020-08-08,2020-08-10,"North","Bolo",5,1,12,18,8
"146","Facility 20",2020-08-09,2020-08-10,"North","Barnard",22,8,9,39,20
"147","Facility 21",2020-08-09,2020-08-10,"North","Bolo",26,16,3,45,21
"148","Facility 14",2020-08-10,2020-08-10,"North","Dingo",6,2,11,19,14
"149","Facility 16",2020-08-09,2020-08-10,"North","Barnard",0,1,0,1,16
"150","Facility 3",2020-08-09,2020-08-10,"North","Dingo",8,7,7,22,3
"151","Facility 24",2020-08-09,2020-08-10,"North","Bolo",18,8,73,99,24
"152","Facility 12",2020-08-09,2020-08-10,"North","Dingo",26,45,65,136,12
"153","Facility 10",2020-08-09,2020-08-10,"North","Bolo",0,20,17,37,10
"154","Facility 29",2020-08-09,2020-08-10,"North","Dingo",20,25,24,69,29
"155","Facility 39",2020-08-02,2020-08-10,"North","Spring",9,7,18,34,39
"156","Facility 48",2020-08-09,2020-08-10,"North","Dingo",7,3,13,23,48
"157","Facility 39",2020-08-01,2020-08-10,"North","Spring",13,11,14,38,39
"158","Facility 39",2020-07-31,2020-08-10,"North","Spring",27,21,32,80,39
"159","Facility 39",2020-07-30,2020-08-10,"North","Spring",15,13,11,39,39
"160","Facility 39",2020-07-29,2020-08-10,"North","Spring",12,7,25,44,39
"161","Facility 39",2020-07-28,2020-08-10,"North","Spring",18,11,15,44,39
"162","Facility 39",2020-07-27,2020-08-10,"North","Spring",15,11,17,43,39
"163","Facility 39",2020-07-26,2020-08-10,"North","Spring",8,8,12,28,39
"164","Facility 39",2020-07-25,2020-08-10,"North","Spring",17,13,11,41,39
"165","Facility 39",2020-07-24,2020-08-10,"North","Spring",21,12,28,61,39
"166","Facility 39",2020-07-23,2020-08-10,"North","Spring",7,15,18,40,39
"167","Facility 39",2020-07-22,2020-08-10,"North","Spring",9,10,14,33,39
"168","Facility 39",2020-07-21,2020-08-10,"North","Spring",10,25,31,66,39
"169","Facility 2",2020-08-09,2020-08-10,"North","Bolo",10,5,31,46,2
"170","Facility 26",2020-08-09,2020-08-10,"North","Bolo",7,4,9,20,26
"171","Facility 31",2020-08-09,2020-08-09,"North","Dingo",20,9,10,39,31
"172","Facility 28",2020-08-08,2020-08-09,"North","Spring",12,7,15,34,28
"173","Facility 17",2020-08-06,2020-08-08,"North","Barnard",2,0,0,2,17
"174","Facility 17",2020-08-05,2020-08-08,"North","Barnard",3,6,8,17,17
"175","Facility 28",2020-08-07,2020-08-08,"North","Spring",0,0,0,0,28
"176","Facility 2",2020-08-05,2020-08-06,"North","Bolo",11,7,22,40,2
"177","Facility 48",2020-08-05,2020-08-06,"North","Dingo",8,7,9,24,48
"178","Facility 16",2020-08-05,2020-08-06,"North","Barnard",5,15,1,21,16
"179","Facility 13",2020-08-05,2020-08-06,"North","Bolo",0,0,0,0,13
"180","Facility 29",2020-08-05,2020-08-06,"North","Dingo",13,19,24,56,29
"181","Facility 11",2020-08-05,2020-08-06,"North","Spring",49,24,41,114,11
"182","Facility 12",2020-08-05,2020-08-06,"North","Dingo",38,34,56,128,12
"183","Facility 37",2020-08-05,2020-08-06,"North","Bolo",56,39,18,113,37
"184","Facility 7",2020-08-05,2020-08-06,"North","Spring",6,5,20,31,7
"185","Facility 37",2020-08-04,2020-08-06,"North","Bolo",56,22,19,97,37
"186","Facility 42",2020-08-05,2020-08-06,"North","Dingo",24,7,22,53,42
"187","Facility 40",2020-08-05,2020-08-06,"North","Barnard",41,16,25,82,40
"188","Facility 49",2020-08-05,2020-08-06,"North","Dingo",53,43,58,154,49
"189","Facility 3",2020-08-05,2020-08-06,"North","Dingo",4,4,15,23,3
"190","Facility 14",2020-08-05,2020-08-05,"North","Dingo",8,6,74,88,14
"191","Facility 50",2020-08-04,2020-08-05,"North","Spring",18,21,45,84,50
"192","Facility 38",2020-08-05,2020-08-05,"North","Bolo",7,5,9,21,38
"193","Facility 1",2020-08-04,2020-08-05,"North","Spring",16,7,20,43,1
"194","Facility 34",2020-08-05,2020-08-05,"North","Dingo",11,6,12,29,34
"195","Facility 31",2020-08-05,2020-08-05,"North","Dingo",7,3,16,26,31
"196","Facility 47",2020-08-04,2020-08-05,"North","Barnard",22,4,15,41,47
"197","Facility 33",2020-08-05,2020-08-05,"North","Barnard",4,7,9,20,33
"198","Facility 23",2020-08-05,2020-08-05,"North","Dingo",15,7,19,41,23
"199","Facility 22",2020-08-05,2020-08-05,"North","Bolo",1,3,7,11,22
"200","Facility 7",2020-08-04,2020-08-05,"North","Spring",9,7,4,20,7
"201","Facility 7",2020-08-03,2020-08-05,"North","Spring",10,13,13,36,7
"202","Facility 8",2020-08-04,2020-08-05,"North","Bolo",12,4,13,29,8
"203","Facility 8",2020-08-03,2020-08-05,"North","Bolo",5,3,7,15,8
"204","Facility 45",2020-08-05,2020-08-05,"North","Barnard",28,85,55,168,45
"205","Facility 19",2020-08-04,2020-08-05,"North","Bolo",14,9,16,39,19
"206","Facility 21",2020-08-04,2020-08-05,"North","Bolo",20,5,5,30,21
"207","Facility 33",2020-08-04,2020-08-05,"North","Barnard",4,2,6,12,33
"208","Facility 38",2020-08-04,2020-08-05,"North","Bolo",8,5,13,26,38
"209","Facility 51",2020-08-04,2020-08-05,"North","Spring",20,12,17,49,51
"210","Facility 42",2020-08-04,2020-08-05,"North","Dingo",12,6,10,28,42
"211","Facility 36",2020-08-04,2020-08-05,"North","Dingo",14,13,17,44,36
"212","Facility 13",2020-08-04,2020-08-05,"North","Bolo",0,0,0,0,13
"213","Facility 2",2020-08-04,2020-08-05,"North","Bolo",5,9,24,38,2
"214","Facility 30",2020-08-05,2020-08-05,"North","Bolo",20,14,36,70,30
"215","Facility 24",2020-08-04,2020-08-05,"North","Bolo",1,0,31,32,24
"216","Facility 15",2020-08-04,2020-08-05,"North","Barnard",18,10,26,54,15
"217","Facility 11",2020-08-04,2020-08-05,"North","Spring",58,29,33,120,11
"218","Facility 16",2020-08-04,2020-08-05,"North","Barnard",18,11,13,42,16
"219","Facility 10",2020-08-04,2020-08-05,"North","Bolo",0,14,27,41,10
"220","Facility 37",2020-08-03,2020-08-05,"North","Bolo",37,12,26,75,37
"221","Facility 37",2020-08-02,2020-08-05,"North","Bolo",32,7,7,46,37
"222","Facility 40",2020-08-04,2020-08-05,"North","Barnard",24,25,39,88,40
"223","Facility 49",2020-08-04,2020-08-05,"North","Dingo",43,59,48,150,49
"224","Facility 18",2020-08-04,2020-08-05,"North","Bolo",13,2,8,23,18
"225","Facility 29",2020-08-04,2020-08-05,"North","Dingo",13,11,18,42,29
"226","Facility 12",2020-08-04,2020-08-05,"North","Dingo",40,40,77,157,12
"227","Facility 23",2020-08-04,2020-08-05,"North","Dingo",4,22,9,35,23
"228","Facility 25",2020-08-04,2020-08-05,"North","Bolo",7,5,10,22,25
"229","Facility 27",2020-08-04,2020-08-05,"North","Spring",3,7,3,13,27
"230","Facility 48",2020-08-04,2020-08-05,"North","Dingo",5,7,15,27,48
"231","Facility 45",2020-08-03,2020-08-05,"North","Barnard",78,84,86,248,45
"232","Facility 52",2020-08-03,2020-08-05,"North","Bolo",26,12,35,73,52
"233","Facility 52",2020-08-02,2020-08-05,"North","Bolo",12,6,69,87,52
"234","Facility 28",2020-08-04,2020-08-05,"North","Spring",16,8,16,40,28
"235","Facility 46",2020-08-04,2020-08-05,"North","Dingo",9,5,12,26,46
"236","Facility 14",2020-08-04,2020-08-04,"North","Dingo",12,6,7,25,14
"237","Facility 31",2020-08-04,2020-08-04,"North","Dingo",13,5,22,40,31
"238","Facility 34",2020-08-04,2020-08-04,"North","Dingo",9,6,11,26,34
"239","Facility 4",2020-08-04,2020-08-04,"North","Bolo",10,10,18,38,4
"240","Facility 51",2020-08-03,2020-08-04,"North","Spring",11,3,17,31,51
"241","Facility 51",2020-08-02,2020-08-04,"North","Spring",8,10,17,35,51
"242","Facility 6",2020-08-04,2020-08-04,"North","Dingo",9,4,13,26,6
"243","Facility 51",2020-08-01,2020-08-04,"North","Spring",27,24,21,72,51
"244","Facility 51",2020-07-30,2020-08-04,"North","Spring",4,8,20,32,51
"245","Facility 51",2020-07-29,2020-08-04,"North","Spring",16,6,10,32,51
"246","Facility 51",2020-07-28,2020-08-04,"North","Spring",16,7,9,32,51
"247","Facility 53",2020-08-04,2020-08-04,"North","Bolo",13,0,5,18,53
"248","Facility 53",2020-08-03,2020-08-04,"North","Bolo",17,1,3,21,53
"249","Facility 31",2020-08-01,2020-08-04,"North","Dingo",14,8,12,34,31
"250","Facility 31",2020-08-03,2020-08-04,"North","Dingo",7,10,8,25,31
"251","Facility 31",2020-08-02,2020-08-04,"North","Dingo",18,12,21,51,31
"252","Facility 21",2020-08-02,2020-08-02,"North","Bolo",21,9,7,37,21
"253","Facility 21",2020-08-03,2020-08-03,"North","Bolo",22,11,11,44,21
"254","Facility 42",2020-08-03,2020-08-04,"North","Dingo",17,5,31,53,42
"255","Facility 42",2020-08-02,2020-08-04,"North","Dingo",13,10,19,42,42
"256","Facility 50",2020-08-03,2020-08-04,"North","Spring",31,31,22,84,50
"257","Facility 19",2020-08-03,2020-08-04,"North","Bolo",15,11,23,49,19
"258","Facility 19",2020-08-02,2020-08-04,"North","Bolo",4,14,17,35,19
"259","Facility 3",2020-08-04,2020-08-04,"North","Dingo",4,1,3,8,3
"260","Facility 3",2020-07-30,2020-07-30,"North","Dingo",2,8,8,18,3
"261","Facility 3",2020-07-31,2020-07-31,"North","Dingo",0,0,0,0,3
"262","Facility 21",2020-08-04,2020-08-04,"North","Bolo",19,8,11,38,21
"263","Facility 2",2020-07-31,2020-08-04,"North","Bolo",0,0,0,0,2
"264","Facility 2",2020-08-03,2020-08-04,"North","Bolo",22,13,24,59,2
"265","Facility 2",2020-08-02,2020-08-04,"North","Bolo",16,8,33,57,2
"266","Facility 28",2020-08-03,2020-08-04,"North","Spring",22,3,18,43,28
"267","Facility 4",2020-08-03,2020-08-04,"North","Bolo",17,5,23,45,4
"268","Facility 54",2020-08-02,2020-08-04,"North","Barnard",17,12,7,36,54
"269","Facility 54",2020-08-01,2020-08-04,"North","Barnard",0,0,21,21,54
"270","Facility 54",2020-07-31,2020-08-04,"North","Barnard",0,0,0,0,54
"271","Facility 13",2020-07-30,2020-08-04,"North","Bolo",0,0,0,0,13
"272","Facility 13",2020-07-29,2020-08-04,"North","Bolo",0,0,0,0,13
"273","Facility 49",2020-07-31,2020-08-04,"North","Dingo",24,21,34,79,49
"274","Facility 38",2020-08-03,2020-08-04,"North","Bolo",8,2,12,22,38
"275","Facility 20",2020-08-03,2020-08-04,"North","Barnard",5,4,2,11,20
"276","Facility 47",2020-08-03,2020-08-04,"North","Barnard",20,15,13,48,47
"277","Facility 49",2020-08-03,2020-08-04,"North","Dingo",47,58,37,142,49
"278","Facility 13",2020-08-03,2020-08-04,"North","Bolo",0,0,0,0,13
"279","Facility 41",2020-08-03,2020-08-04,"North","Barnard",7,16,21,44,41
"280","Facility 15",2020-08-03,2020-08-04,"North","Barnard",6,14,12,32,15
"281","Facility 15",2020-08-02,2020-08-04,"North","Barnard",20,24,22,66,15
"282","Facility 24",2020-08-03,2020-08-04,"North","Bolo",40,15,68,123,24
"283","Facility 11",2020-08-03,2020-08-04,"North","Spring",48,26,59,133,11
"284","Facility 40",2020-08-03,2020-08-04,"North","Barnard",23,21,28,72,40
"285","Facility 16",2020-08-03,2020-08-04,"North","Barnard",9,22,20,51,16
"286","Facility 32",2020-08-03,2020-08-04,"North","Spring",21,22,30,73,32
"287","Facility 18",2020-08-03,2020-08-04,"North","Bolo",4,1,7,12,18
"288","Facility 29",2020-08-03,2020-08-04,"North","Dingo",17,20,15,52,29
"289","Facility 33",2020-08-03,2020-08-04,"North","Barnard",6,9,14,29,33
"290","Facility 23",2020-08-03,2020-08-04,"North","Dingo",12,8,17,37,23
"291","Facility 12",2020-08-03,2020-08-04,"North","Dingo",26,24,85,135,12
"292","Facility 55",2020-08-03,2020-08-04,"North","Bolo",6,2,18,26,55
"293","Facility 27",2020-08-03,2020-08-04,"North","Spring",12,9,5,26,27
"294","Facility 25",2020-08-03,2020-08-04,"North","Bolo",0,0,0,0,25
"295","Facility 25",2020-08-02,2020-08-04,"North","Bolo",2,2,11,15,25
"296","Facility 48",2020-08-03,2020-08-04,"North","Dingo",5,8,16,29,48
"297","Facility 26",2020-08-03,2020-08-04,"North","Bolo",7,2,3,12,26
"298","Facility 48",2020-08-02,2020-08-04,"North","Dingo",2,6,8,16,48
"299","Facility 1",2020-08-03,2020-08-04,"North","Spring",12,9,15,36,1
"300","Facility 1",2020-08-02,2020-08-04,"North","Spring",14,13,12,39,1
"301","Facility 34",2020-08-03,2020-08-03,"North","Dingo",7,6,10,23,34
"302","Facility 14",2020-08-03,2020-08-03,"North","Dingo",10,18,15,43,14
"303","Facility 56",2020-08-02,2020-08-03,"North","Spring",0,0,0,0,56
"304","Facility 6",2020-08-03,2020-08-03,"North","Dingo",13,2,11,26,6
"305","Facility 6",2020-08-02,2020-08-03,"North","Dingo",8,6,12,26,6
"306","Facility 6",2020-08-01,2020-08-03,"North","Dingo",12,4,8,24,6
"307","Facility 52",2020-08-01,2020-08-03,"North","Bolo",13,11,68,92,52
"308","Facility 35",2020-08-01,2020-08-03,"North","Spring",77,34,67,178,35
"309","Facility 52",2020-07-31,2020-08-03,"North","Bolo",30,11,54,95,52
"310","Facility 36",2020-08-03,2020-08-03,"North","Dingo",7,6,15,28,36
"311","Facility 52",2020-07-30,2020-08-03,"North","Bolo",18,10,16,44,52
"312","Facility 4",2020-08-02,2020-08-03,"North","Bolo",10,15,17,42,4
"313","Facility 52",2020-07-28,2020-08-03,"North","Bolo",10,11,47,68,52
"314","Facility 10",2020-08-03,2020-08-03,"North","Bolo",0,6,30,36,10
"315","Facility 52",2020-07-27,2020-08-03,"North","Bolo",8,14,41,63,52
"316","Facility 52",2020-07-26,2020-08-03,"North","Bolo",20,12,45,77,52
"317","Facility 52",2020-07-29,2020-08-03,"North","Bolo",12,5,87,104,52
"318","Facility 56",2020-06-25,2020-08-03,"North","Spring",75,35,90,200,56
"319","Facility 32",2020-08-02,2020-08-03,"North","Spring",29,30,37,96,32
"320","Facility 50",2020-08-02,2020-08-03,"North","Spring",28,18,31,77,50
"321","Facility 40",2020-08-02,2020-08-03,"North","Barnard",17,34,30,81,40
"322","Facility 30",2020-08-03,2020-08-03,"North","Bolo",18,16,40,74,30
"323","Facility 30",2020-08-02,2020-08-03,"North","Bolo",10,5,41,56,30
"324","Facility 30",2020-08-01,2020-08-03,"North","Bolo",17,15,45,77,30
"325","Facility 30",2020-07-31,2020-08-03,"North","Bolo",14,8,38,60,30
"326","Facility 30",2020-07-30,2020-08-03,"North","Bolo",20,6,18,44,30
"327","Facility 30",2020-07-29,2020-08-03,"North","Bolo",10,9,19,38,30
"328","Facility 7",2020-08-02,2020-08-03,"North","Spring",10,6,17,33,7
"329","Facility 22",2020-08-02,2020-08-03,"North","Bolo",13,1,6,20,22
"330","Facility 53",2020-08-02,2020-08-03,"North","Bolo",12,1,10,23,53
"331","Facility 53",2020-08-01,2020-08-03,"North","Bolo",26,4,1,31,53
"332","Facility 13",2020-08-02,2020-08-03,"North","Bolo",0,0,0,0,13
"333","Facility 53",2020-07-31,2020-08-03,"North","Bolo",0,0,0,0,53
"334","Facility 53",2020-07-30,2020-08-03,"North","Bolo",0,0,0,0,53
"335","Facility 53",2020-07-29,2020-08-03,"North","Bolo",14,3,7,24,53
"336","Facility 8",2020-08-02,2020-08-03,"North","Bolo",5,0,12,17,8
"337","Facility 36",2020-08-02,2020-08-03,"North","Dingo",14,7,17,38,36
"338","Facility 8",2020-08-01,2020-08-03,"North","Bolo",13,2,14,29,8
"339","Facility 53",2020-07-28,2020-08-03,"North","Bolo",22,2,10,34,53
"340","Facility 7",2020-08-01,2020-08-03,"North","Spring",15,11,15,41,7
